date,close,imp30,imp60,imp90,imp120
10/16/2012,92.8014,33.86,31.612,31.438,33.192
10/17/2012,92.0971,33.95,31.347,31.213,32.894
10/18/2012,90.3586,35.11,32.182,32.181,33.567
10/19/2012,87.1143,41.48,36.639,35.901,36.05
10/22/2012,90.5757,39.44,34.684,35.014,35.6
10/23/2012,87.6271,40.12,35.512,35.214,35.305
10/24/2012,88.0686,36.96,34.024,34.304,34.675
10/25/2012,87.1143,38.14,33.738,33.341,33.812
10/26/2012,86.2857,28.51,29.29,30.783,32.804
10/29/2012,86.2857,28.51,29.29,30.783,32.804
10/30/2012,86.2857,28.51,29.29,30.783,32.804
10/31/2012,85.0143,30.4,30.57,32.228,33.228
11/1/2012,85.2571,27.52,28.514,30.456,31.707
11/2/2012,82.3814,29.17,29.568,31.257,31.926
11/5/2012,83.5429,30.3,30.272,32.018,32.078
11/6/2012,83.2657,28.63,29.296,31.356,31.503
11/7/2012,79.7129,31.01,31.278,32.982,32.984
11/8/2012,76.7514,33,32.861,34.095,33.501
11/9/2012,78.1514,32.31,32.561,34.259,33.948
11/13/2012,77.5129,29.84,30.589,33.248,32.866
11/14/2012,76.7043,29.2,29.883,32.603,32.158
11/15/2012,75.15,32.12,32.285,34.48,33.244
11/16/2012,75.3886,34.89,34.718,36.481,34.461
11/19/2012,80.92,31.52,32.272,34.866,33.416
11/20/2012,80.1643,31.12,32.355,34.955,33.347
11/21/2012,80.2429,29.74,31.696,34.367,33.097
11/23/2012,81.6786,29.47,31.781,33.882,32.708
11/26/2012,84.1814,30.09,32.094,33.886,32.898
11/27/2012,83.5557,30.2,32.299,34.038,33.029
11/28/2012,83.2771,30.29,32.526,33.92,32.768
11/29/2012,84.1943,29.94,32.132,33.466,32.301
11/30/2012,83.6114,29.71,32.174,33.583,32.822
12/3/2012,83.7343,30.7,33.113,34.021,33.026
12/4/2012,82.2643,31.67,34.006,34.657,33.653
12/5/2012,76.9729,36.47,37.315,37.128,35.084
12/6/2012,78.1829,38.18,38.921,38.394,35.907
12/7/2012,76.1543,39.2,39.375,38.749,36.421
12/10/2012,75.6814,39.18,39.584,38.356,36.302
12/11/2012,77.2857,36.18,37.614,36.652,35.091
